player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,year
Datone Jones,7807,DI,GB,17,0,0,50.0,1,0,12,1,0,56.0,40.9,32.3,48.8,43.0,48.3,3,11,0,0,5.0,40.0,4,0,2,56.3,1,5,0,13,0,9,269,256,16,0,40,200,0,13,233,27,0,7,6,0,2,19,0,5,2,5.0,2013
Chris Harper,7905,WR,GB,1,0,0,,0,0,12,0,0,,44.0,65.0,,57.4,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2013
Micah Hyde,7941,CB,GB,17,11,0,73.1,0,2,12,0,0,66.2,71.2,85.6,63.2,84.2,81.2,0,3,0,0,37.0,6.0,3,4,0,106.3,38,1,0,88,10,283,439,0,0,0,0,0,1,439,39,117,339,15,36,3,52,4,1,460,173,12.1,2013
Josh Boyd,7949,DI,GB,9,2,0,,0,0,12,0,0,59.3,54.5,80.0,53.8,60.2,51.5,0,5,0,0,,22.2,2,0,0,0.0,0,0,0,0,0,1,116,116,2,0,15,99,0,0,71,44,0,3,5,1,0,5,0,0,0,,2013
Nate Palmer,7974,ED,GB,6,2,0,100.0,0,0,12,0,0,49.8,48.5,80.9,47.2,56.3,80.6,2,2,0,0,59.0,0.0,0,0,0,118.8,1,0,0,33,0,11,196,162,0,0,162,0,0,34,96,89,1,8,13,0,1,4,0,59,50,59.0,2013
Sam Barrington,8015,LB,GB,1,0,0,,0,0,12,0,0,,60.0,65.6,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2013
Andy Mulumba,8151,ED,GB,13,5,0,83.3,0,0,12,1,0,62.4,53.1,61.4,47.5,61.9,70.8,0,9,0,0,20.0,4.5,1,0,1,147.9,5,1,0,70,4,38,356,276,0,0,271,5,0,80,188,130,5,13,16,2,6,10,1,60,46,12.0,2013
Jake Stoneburner,8353,TE,GB,2,0,0,,0,0,12,0,0,,44.4,0.0,,60.0,,0,1,0,0,,,0,0,1,0.0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,,2013
Chris Banjo,8419,S,GB,13,2,0,33.3,0,0,12,0,0,69.7,62.7,78.8,55.7,39.0,38.5,0,0,0,0,21.0,29.4,5,2,0,59.0,1,0,0,38,0,122,193,0,0,0,0,0,144,193,3,68,10,0,10,0,3,0,0,21,25,21.0,2013
Victor Aiyewa,8616,ST,GB,1,0,0,,0,0,12,0,0,,60.0,60.0,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2013
Julius Peppers,1010,ED,GB,18,12,3,50.0,1,5,12,3,0,83.9,81.6,77.6,81.4,59.1,39.0,12,33,2,2,7.0,22.4,11,1,3,16.7,2,11,0,49,0,39,904,851,0,0,752,99,0,53,520,345,3,30,26,2,4,56,0,12,11,6.0,2014
A.J. Hawk,2950,LB,GB,18,26,0,75.0,0,1,12,0,0,53.1,50.1,86.6,52.4,49.7,81.0,1,10,0,0,23.0,7.1,7,3,0,105.3,33,1,0,796,1,401,875,71,0,0,70,1,1,804,77,397,5,29,65,1,44,12,1,350,239,10.6,2014
Jarrett Bush,3261,CB,GB,8,0,0,77.8,0,0,12,0,0,53.2,56.2,77.5,60.0,68.9,66.6,0,1,0,0,14.0,12.5,1,1,0,130.1,7,0,0,8,13,25,46,0,0,0,0,0,0,46,2,19,24,0,7,0,9,1,1,57,12,8.1,2014
