season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,ATL,2,00-0037810,LB,Troy Andersen,Troy,Andersen,Concussion,,Out,Concussion,,Limited Participation in Practice,2023-09-15 17:32:51,injury_reports_2023.csv,3.0,LB,ATL
2023,REG,ATL,2,00-0036274,CB,Jeff Okudah,Jeff,Okudah,Foot,,Questionable,Foot,,Limited Participation in Practice,2023-09-15 17:33:09,injury_reports_2023.csv,1.0,CB,ATL
2023,REG,BLT,2,00-0033281,CB,Marlon Humphrey,Marlon,Humphrey,Foot,,Out,Foot,,Did Not Participate In Practice,2023-09-15 18:37:14,injury_reports_2023.csv,3.0,CB,BAL
2023,REG,BLT,2,00-0033894,S,Marcus Williams,Marcus,Williams,Pectoral,,Out,Pectoral,,Did Not Participate In Practice,2023-09-15 18:37:40,injury_reports_2023.csv,3.0,S,BAL
2023,REG,CAR,2,00-0036944,CB,Jaycee Horn,Jaycee,Horn,,,,Hamstring,,Did Not Participate In Practice,2023-09-15 17:02:27,injury_reports_2023.csv,0.0,CB,CAR
2023,REG,CHI,2,00-0038111,CB,Kyler Gordon,Kyler,Gordon,,,,Hand,,Did Not Participate In Practice,2023-09-13 18:52:03,injury_reports_2023.csv,0.0,CB,CHI
2023,REG,CHI,2,00-0033765,LB,Dylan Cole,Dylan,Cole,,,,Hamstring,,Full Participation in Practice,2023-09-15 19:41:35,injury_reports_2023.csv,0.0,LB,CHI
2023,REG,CHI,2,00-0037129,CB,Josh Blackwell,Josh,Blackwell,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2023-09-15 19:42:03,injury_reports_2023.csv,2.0,CB,CHI
2023,REG,CIN,2,00-0037743,S,Dax Hill,Dax,Hill,,,,Hand,,Full Participation in Practice,2023-09-15 18:00:48,injury_reports_2023.csv,0.0,S,CIN
2023,REG,CIN,2,00-0036850,ED,Cam Sample,Cam,Sample,,,,Ankle,,Full Participation in Practice,2023-09-15 18:01:32,injury_reports_2023.csv,0.0,DE,CIN
2023,REG,CIN,2,00-0036294,LB,Logan Wilson,Logan,Wilson,,,,Ankle,,Full Participation in Practice,2023-09-15 18:00:48,injury_reports_2023.csv,0.0,LB,CIN
2023,REG,CIN,2,00-0033548,CB,Chidobe Awuzie,Chidobe,Awuzie,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-15 18:01:46,injury_reports_2023.csv,0.0,CB,CIN
2023,REG,CIN,2,00-0036314,LB,Markus Bailey,Markus,Bailey,Knee,,Questionable,Knee,,Did Not Participate In Practice,2023-09-15 18:02:03,injury_reports_2023.csv,1.0,LB,CIN
2023,REG,CIN,2,00-0036902,ED,Joseph Ossai,Joseph,Ossai,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-15 18:02:43,injury_reports_2023.csv,1.0,DE,CIN
2023,REG,CLV,2,00-0033868,ED,Myles Garrett,Myles,Garrett,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-16 17:54:30,injury_reports_2023.csv,0.0,DE,CLE
2023,REG,CLV,2,00-0031270,DI,Shelby Harris,Shelby,Harris,,,,Achilles,,Full Participation in Practice,2023-09-16 17:55:41,injury_reports_2023.csv,0.0,DT,CLE
2023,REG,CLV,2,00-0034746,DI,Maurice Hurst,Maurice,Hurst,,,,Hamstring,,Full Participation in Practice,2023-09-16 17:55:51,injury_reports_2023.csv,0.0,DT,CLE
2023,REG,CLV,2,00-0033570,LB,Anthony Walker,Anthony,Walker,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-16 17:54:30,injury_reports_2023.csv,0.0,LB,CLE
2023,REG,CLV,2,00-0038561,DI,Siaki Ika,Siaki,Ika,Foot,,Questionable,Foot,,Did Not Participate In Practice,2023-09-16 17:56:58,injury_reports_2023.csv,1.0,DT,CLE
2023,REG,CLV,2,00-0035625,S,Juan Thornhill,Juan,Thornhill,Calf,,Questionable,Calf,,Limited Participation in Practice,2023-09-16 17:56:58,injury_reports_2023.csv,1.0,S,CLE
2023,REG,DAL,2,00-0037665,ED,Sam Williams,Sam,Williams,,,,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-15 19:08:38,injury_reports_2023.csv,0.0,DE,DAL
2023,REG,DAL,2,00-0035301,S,Donovan Wilson,Donovan,Wilson,Calf,,Doubtful,Calf,,Limited Participation in Practice,2023-09-15 19:10:08,injury_reports_2023.csv,2.0,S,DAL
2023,REG,DEN,2,00-0033297,DI,D.J. Jones,D.J.,Jones,,,,Knee,,Full Participation in Practice,2023-09-15 20:17:12,injury_reports_2023.csv,0.0,DT,DEN
2023,REG,DEN,2,00-0038552,CB,Riley Moss,Riley,Moss,,,,Abdomen,,Full Participation in Practice,2023-09-15 20:17:12,injury_reports_2023.csv,0.0,CB,DEN
2023,REG,DEN,2,00-0032210,LB,Frank Clark,Frank,Clark,Hip,,Out,Hip,,Did Not Participate In Practice,2023-09-15 20:17:25,injury_reports_2023.csv,3.0,LB,DEN
2023,REG,DET,2,00-0036124,CB,Khalil Dorsey,Khalil,Dorsey,Illness,,Out,Illness,,Did Not Participate In Practice,2023-09-15 19:56:42,injury_reports_2023.csv,3.0,CB,DET
2023,REG,DET,2,00-0034096,CB,Emmanuel Moseley,Emmanuel,Moseley,Knee,Hamstring,Out,Knee,Hamstring,Did Not Participate In Practice,2023-09-15 19:56:47,injury_reports_2023.csv,3.0,CB,DET
2023,REG,DET,2,00-0038096,ED,Josh Paschal,Josh,Paschal,Knee,,Out,Knee,,Did Not Participate In Practice,2023-09-15 19:53:54,injury_reports_2023.csv,3.0,DE,DET
2023,REG,GB,2,00-0038411,S,Anthony Johnson,Anthony,Johnson,,,,Knee,,Full Participation in Practice,2023-09-15 19:06:04,injury_reports_2023.csv,0.0,S,GB
2023,REG,GB,2,00-0034967,LB,Rashan Gary,Rashan,Gary,,,,Knee,,Limited Participation in Practice,2023-09-15 19:06:04,injury_reports_2023.csv,0.0,LB,GB
2023,REG,GB,2,00-0037074,LB,Quay Walker,Quay,Walker,Concussion,,Questionable,Concussion,,Limited Participation in Practice,2023-09-15 19:09:24,injury_reports_2023.csv,1.0,LB,GB
2023,REG,HST,2,00-0035995,S,Grayland Arnold,Grayland,Arnold,,,,Hamstring,,Full Participation in Practice,2023-09-15 20:08:55,injury_reports_2023.csv,0.0,S,HOU
2023,REG,HST,2,00-0035276,LB,Blake Cashman,Blake,Cashman,,,,Hamstring,,Full Participation in Practice,2023-09-15 20:09:22,injury_reports_2023.csv,0.0,LB,HOU
2023,REG,HST,2,00-0032103,LB,Denzel Perryman,Denzel,Perryman,,,,Ankle,Wrist,Full Participation in Practice,2023-09-15 20:08:55,injury_reports_2023.csv,0.0,LB,HOU
2023,REG,HST,2,00-0037246,S,Jalen Pitre,Jalen,Pitre,Chest,,Out,Chest,,Did Not Participate In Practice,2023-09-15 20:10:56,injury_reports_2023.csv,3.0,S,HOU
2023,REG,HST,2,00-0031298,S,Jimmie Ward,Jimmie,Ward,Hip,,Out,Hip,,Did Not Participate In Practice,2023-09-15 20:10:51,injury_reports_2023.csv,3.0,S,HOU
2023,REG,HST,2,00-0031740,LB,Neville Hewitt,Neville,Hewitt,Illness,,Questionable,Illness,,Limited Participation in Practice,2023-09-15 20:10:17,injury_reports_2023.csv,1.0,LB,HOU
2023,REG,JAX,2,00-0038596,S,Antonio Johnson,Antonio,Johnson,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-15 19:14:49,injury_reports_2023.csv,3.0,S,JAX
2023,REG,JAX,2,00-0037296,CB,Gregory Junior,Gregory,Junior,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-09-15 19:14:58,injury_reports_2023.csv,3.0,CB,JAX
2023,REG,JAX,2,00-0038940,ED,Tyler Lacy,Tyler,Lacy,Hip,,Questionable,Hip,,Limited Participation in Practice,2023-09-15 19:14:28,injury_reports_2023.csv,1.0,DE,JAX
2023,REG,KC,2,00-0036621,LB,Nick Bolton,Nick,Bolton,,,,Not injury related - personal matter,,Did Not Participate In Practice,2023-09-15 19:07:32,injury_reports_2023.csv,0.0,LB,KC
2023,REG,KC,2,00-0038986,CB,Nic Jones,Nic,Jones,,,,Hand,,Full Participation in Practice,2023-09-15 19:06:40,injury_reports_2023.csv,0.0,CB,KC
2023,REG,KC,2,00-0035890,DI,Tershawn Wharton,Tershawn,Wharton,,,,Knee,,Full Participation in Practice,2023-09-15 19:06:40,injury_reports_2023.csv,0.0,DT,KC
2023,REG,KC,2,00-0032762,DI,Chris Jones,Chris,Jones,,,,Not injury related - resting player,,Limited Participation in Practice,2023-09-15 19:06:40,injury_reports_2023.csv,0.0,DT,KC
2023,REG,KC,2,00-0036374,CB,L'Jarius Sneed,L'Jarius,Sneed,,,,Knee,,Limited Participation in Practice,2023-09-15 19:06:40,injury_reports_2023.csv,0.0,CB,KC
2023,REG,LA,2,00-0031388,DI,Aaron Donald,Aaron,Donald,,,,Not injury related - resting player,,Did Not Participate In Practice,2023-09-15 20:00:24,injury_reports_2023.csv,0.0,DT,LA
2023,REG,LA,2,00-0033783,CB,Ahkello Witherspoon,Ahkello,Witherspoon,,,,Hip,,Full Participation in Practice,2023-09-15 19:58:01,injury_reports_2023.csv,0.0,CB,LA
2023,REG,LA,2,00-0039060,S,Jason Taylor,Jason,Taylor,,,,Groin,,Limited Participation in Practice,2023-09-14 23:29:58,injury_reports_2023.csv,0.0,S,LA
2023,REG,LA,2,00-0036994,LB,Ernest Jones,Ernest,Jones,Illness,,Questionable,Illness,,Did Not Participate In Practice,2023-09-15 20:02:26,injury_reports_2023.csv,1.0,LB,LA
