season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team
2023,REG,LV,2,00-0034960,WR,Jakobi Meyers,Jakobi,Meyers,Concussion,,Out,Concussion,,Did Not Participate In Practice,2023-09-15 20:21:13,injury_reports_2023.csv,3.0,WR,LV
2023,REG,MIA,2,00-0036613,WR,Jaylen Waddle,Jaylen,Waddle,,,,Oblique,,Full Participation in Practice,2023-09-15 19:57:20,injury_reports_2023.csv,0.0,WR,MIA
2023,REG,MIA,2,00-0038720,TE,Julian Hill,Julian,Hill,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-09-15 19:59:05,injury_reports_2023.csv,1.0,TE,MIA
2023,REG,NE,2,00-0038608,WR,Kayshon Boutte,Kayshon,Boutte,,,,Hamstring,,Limited Participation in Practice,2023-09-14 19:52:11,injury_reports_2023.csv,0.0,WR,NE
2023,REG,NE,2,00-0031547,WR,DeVante Parker,DeVante,Parker,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-09-15 19:31:23,injury_reports_2023.csv,1.0,WR,NE
2023,REG,NO,2,00-0027696,TE,Jimmy Graham,Jimmy,Graham,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-16 19:11:18,injury_reports_2023.csv,0.0,TE,NO
2023,REG,NO,2,00-0036040,TE,Juwan Johnson,Juwan,Johnson,,,,Calf,,Full Participation in Practice,2023-09-16 19:11:18,injury_reports_2023.csv,0.0,TE,NO
2023,REG,NYG,2,00-0032385,WR,Sterling Shepard,Sterling,Shepard,,,,Not injury related - resting player,,Full Participation in Practice,2023-09-15 18:28:58,injury_reports_2023.csv,0.0,WR,NYG
2023,REG,NYG,2,00-0031610,TE,Darren Waller,Darren,Waller,,,,Hamstring,,Limited Participation in Practice,2023-09-15 18:25:09,injury_reports_2023.csv,0.0,TE,NYG
2023,REG,NYG,2,00-0038117,WR,Wan'Dale Robinson,Wan'Dale,Robinson,Knee,,Doubtful,Knee,,Limited Participation in Practice,2023-09-15 18:30:08,injury_reports_2023.csv,2.0,WR,NYG
2023,REG,PIT,2,00-0036894,TE,Pat Freiermuth,Pat,Freiermuth,,,,Chest,,Full Participation in Practice,2023-09-16 17:45:41,injury_reports_2023.csv,0.0,TE,PIT
2023,REG,PIT,2,00-0037247,WR,George Pickens,George,Pickens,,,,Hamstring,,Limited Participation in Practice,2023-09-16 17:46:46,injury_reports_2023.csv,0.0,WR,PIT
