year,snap_counts_coverage,snap_counts_run_defense,player_game_count,snap_counts_dl_over_t,snap_counts_fs,snap_counts_pass_rush,grades_defense,grades_run_defense,grades_pass_rush_defense,grades_tackle,snap_counts_defense,snap_counts_dl_outside_t,snap_counts_slot,player,team_name,grades_coverage_defense,grades_defense_penalty,snap_counts_dl_a_gap,player_id,snap_counts_offball,position,snap_counts_dl,snap_counts_dl_b_gap,snap_counts_box,snap_counts_corner
2023,195,89,13,0,0,29,66.3,43.8,72.8,47.1,313,9,51,Deion Jones,CAR,76.7,0.0,0,10686,304,LB,9,0,253,0
2023,408,367,13,0,383,2,63.9,59.8,68.2,71.1,777,19,96,Vonn Bell,CAR,63.8,86.2,0,10695,758,S,19,0,272,7
2023,151,237,16,0,0,15,48.6,40.0,70.2,32.7,403,10,28,Kamu Grugier-Hill,CAR,59.7,82.6,0,10842,392,LB,11,1,363,1
2023,32,36,2,0,39,0,28.8,34.3,,25.2,68,0,4,Matthias Farley,CAR,35.5,76.3,0,10953,68,S,0,0,25,0
2023,0,30,5,33,0,16,44.3,41.5,62.6,72.5,46,5,0,Chris Wormley,CAR,,76.4,0,11829,0,DI,46,8,0,0
2023,290,168,10,0,0,1,67.0,61.9,60.0,69.8,459,1,3,Shaquill Griffin,CAR,67.0,84.0,0,11845,458,CB,1,0,46,409
2023,427,363,14,0,446,5,80.3,73.7,50.3,67.3,795,12,121,Xavier Woods,CAR,81.7,54.8,0,11946,783,S,12,0,210,6
2023,1,0,1,0,0,0,61.6,,,,1,0,0,Tae Davis,CAR,60.0,64.2,0,26296,1,LB,0,0,1,0
2023,0,329,17,2,0,218,52.9,52.8,57.8,44.9,547,0,0,Shy Tuttle,CAR,60.0,46.4,394,37279,0,DI,547,151,0,0
2023,107,75,3,0,0,1,62.4,53.0,56.2,42.7,183,1,1,Dicaprio Bootle,CAR,64.1,80.9,0,42913,182,CB,1,0,16,165
2023,144,128,12,0,2,13,57.7,68.1,58.4,62.8,285,14,143,Jeremy Chinn,CAR,51.6,79.7,0,43179,271,S,14,0,107,19
