season,game_type,team,week,gsis_id,position,full_name,first_name,last_name,report_primary_injury,report_secondary_injury,report_status,practice_primary_injury,practice_secondary_injury,practice_status,date_modified,source_file,injury_score,original_position,original_team,player,team_name,routes,player_game_count,total_position_snaps,snap_share,player_weighted_score
2023,REG,CHI,10,00-0036290,TE,Cole Kmet,Cole,Kmet,,,,Knee,,Full Participation in Practice,2023-11-08 21:17:55,injury_reports_2023.csv,0.0,TE,CHI,Cole Kmet,CHI,425,17,2874,0.14787752261656228,0.0
2023,REG,CHI,16,00-0036290,TE,Cole Kmet,Cole,Kmet,Quadricep,,Questionable,Quadricep,,Limited Participation in Practice,2023-12-22 20:30:45,injury_reports_2023.csv,0.0,TE,CHI,Cole Kmet,CHI,425,17,2874,0.14787752261656228,0.0
2023,REG,CHI,17,00-0036290,TE,Cole Kmet,Cole,Kmet,Knee,,Questionable,Knee,,Limited Participation in Practice,2023-12-29 21:48:46,injury_reports_2023.csv,0.0,TE,CHI,Cole Kmet,CHI,425,17,2874,0.14787752261656228,0.0
2023,REG,CHI,18,00-0036290,TE,Cole Kmet,Cole,Kmet,Knee,,Questionable,Knee,,Full Participation in Practice,2024-01-05 19:57:37,injury_reports_2023.csv,0.0,TE,CHI,Cole Kmet,CHI,425,17,2874,0.14787752261656228,0.0
2023,REG,CIN,1,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Toe,,Full Participation in Practice,2023-09-08 18:25:09,injury_reports_2023.csv,0.0,WR,CIN,Tyler Boyd,CIN,577,17,8419,0.06853545551728234,0.0
2023,REG,CIN,14,00-0033009,WR,Tyler Boyd,Tyler,Boyd,Ankle,,Questionable,Ankle,,Limited Participation in Practice,2023-12-08 18:48:29,injury_reports_2023.csv,0.0,WR,CIN,Tyler Boyd,CIN,577,17,8419,0.06853545551728234,0.0
2023,REG,CIN,15,00-0033009,WR,Tyler Boyd,Tyler,Boyd,,,,Foot,Ankle,Full Participation in Practice,2023-12-14 19:16:13,injury_reports_2023.csv,0.0,WR,CIN,Tyler Boyd,CIN,577,17,8419,0.06853545551728234,0.0
2023,REG,CIN,4,00-0038576,WR,Charlie Jones,Charlie,Jones,Thumb,,Out,Thumb,,Did Not Participate In Practice,2023-09-29 18:03:36,injury_reports_2023.csv,3.0,WR,CIN,Charlie Jones,CIN,30,8,8419,0.003563368571089203,0.01069010571326761
2023,REG,CIN,10,00-0038576,WR,Charlie Jones,Charlie,Jones,Thumb,,Questionable,Thumb,,Full Participation in Practice,2023-11-10 19:02:23,injury_reports_2023.csv,0.0,WR,CIN,Charlie Jones,CIN,30,8,8419,0.003563368571089203,0.0
2023,REG,CIN,11,00-0038576,WR,Charlie Jones,Charlie,Jones,Thumb,,Questionable,Thumb,,Full Participation in Practice,2023-11-15 18:27:54,injury_reports_2023.csv,0.0,WR,CIN,Charlie Jones,CIN,30,8,8419,0.003563368571089203,0.0
2023,REG,CIN,5,00-0036410,WR,Tee Higgins,Tee,Higgins,Ribs,,Questionable,Ribs,,Limited Participation in Practice,2023-10-06 19:31:17,injury_reports_2023.csv,0.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.0
2023,REG,CIN,6,00-0036410,WR,Tee Higgins,Tee,Higgins,Ribs,,Questionable,Ribs,,Full Participation in Practice,2023-10-13 18:28:17,injury_reports_2023.csv,0.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.0
2023,REG,CIN,10,00-0036410,WR,Tee Higgins,Tee,Higgins,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-11-10 19:01:11,injury_reports_2023.csv,3.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.14110939541513245
2023,REG,CIN,11,00-0036410,WR,Tee Higgins,Tee,Higgins,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-11-15 18:27:22,injury_reports_2023.csv,3.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.14110939541513245
2023,REG,CIN,12,00-0036410,WR,Tee Higgins,Tee,Higgins,Hamstring,,Out,Hamstring,,Did Not Participate In Practice,2023-11-24 19:13:39,injury_reports_2023.csv,3.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.14110939541513245
2023,REG,CIN,13,00-0036410,WR,Tee Higgins,Tee,Higgins,,,,Hamstring,Ankle,Full Participation in Practice,2023-12-02 19:23:55,injury_reports_2023.csv,0.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.0
2023,REG,CIN,18,00-0036410,WR,Tee Higgins,Tee,Higgins,Hamstring,,Doubtful,Hamstring,,Did Not Participate In Practice,2024-01-05 19:31:17,injury_reports_2023.csv,0.0,WR,CIN,Tee Higgins,CIN,396,12,8419,0.04703646513837748,0.0
2023,REG,CIN,10,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,Back,,Questionable,Back,,Limited Participation in Practice,2023-11-10 19:01:59,injury_reports_2023.csv,0.0,WR,CIN,Ja'Marr Chase,CIN,600,16,8419,0.07126737142178406,0.0
2023,REG,CIN,15,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,,,,Ankle,,Full Participation in Practice,2023-12-14 19:16:19,injury_reports_2023.csv,0.0,WR,CIN,Ja'Marr Chase,CIN,600,16,8419,0.07126737142178406,0.0
2023,REG,CIN,16,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,Shoulder,,Out,Shoulder,,Did Not Participate In Practice,2023-12-21 18:04:03,injury_reports_2023.csv,3.0,WR,CIN,Ja'Marr Chase,CIN,600,16,8419,0.07126737142178406,0.21380211426535217
2023,REG,CIN,17,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,Shoulder,,Questionable,Shoulder,,Limited Participation in Practice,2023-12-29 19:07:02,injury_reports_2023.csv,0.0,WR,CIN,Ja'Marr Chase,CIN,600,16,8419,0.07126737142178406,0.0
2023,REG,CIN,18,00-0036900,WR,Ja'Marr Chase,Ja'Marr,Chase,,,,Shoulder,,Full Participation in Practice,2024-01-05 19:30:39,injury_reports_2023.csv,0.0,WR,CIN,Ja'Marr Chase,CIN,600,16,8419,0.07126737142178406,0.0
2023,REG,CIN,11,00-0038619,WR,Andrei Iosivas,Andrei,Iosivas,Knee,,Out,Knee,,Did Not Participate In Practice,2023-11-15 18:27:44,injury_reports_2023.csv,3.0,WR,CIN,Andrei Iosivas,CIN,151,15,8419,0.017935621807815653,0.05380686542344696
