team_name,year,position,score
SF,2018,QB,107.96405986235554
SF,2019,QB,250.98282295969233
SF,2020,QB,108.35633401441015
SF,2021,QB,115.89186290022339
SF,2022,QB,72.82253497552867
SF,2023,QB,88.32149187763225
SF,2024,QB,79.70455415889225
SL,2006,QB,56.106193929626635
SL,2007,QB,41.23064350386047
SL,2008,QB,38.79357014908124
SL,2009,QB,32.294064973520875
SL,2010,QB,239.16644262823965
SL,2011,QB,106.91202353686015
SL,2012,QB,173.60418145706558
SL,2013,QB,197.47405399473226
SL,2014,QB,64.77360719736996
SL,2015,QB,233.69426717745918
TB,2006,QB,17.87287940101265
TB,2007,QB,43.61998250943571
TB,2008,QB,25.023370233702337
TB,2009,QB,53.96995952689693
TB,2010,QB,98.18612621933197
TB,2011,QB,75.83754148546578
TB,2012,QB,85.69936634329615
TB,2013,QB,106.37807486631017
TB,2014,QB,139.45867247200997
TB,2015,QB,309.8769549218032
TB,2016,QB,242.78115573982902
TB,2017,QB,576.0782409658079
TB,2018,QB,640.6081093189964
TB,2019,QB,297.49141403708103
TB,2020,QB,1184.352438971134
TB,2021,QB,1200.2725298107187
TB,2022,QB,1339.1689912300562
TB,2023,QB,271.0764325147535
TB,2024,QB,522.4450736437655
TEN,2006,QB,74.05761474477889
TEN,2007,QB,92.20461903762397
TEN,2008,QB,52.11010277717035
TEN,2009,QB,94.00397796286657
TEN,2010,QB,101.75081167829146
TEN,2011,QB,199.0445953723955
TEN,2012,QB,195.9975908956547
TEN,2013,QB,429.7398960328318
TEN,2014,QB,20.23771924488513
TEN,2015,QB,147.4796996124031
TEN,2016,QB,317.01196410767693
TEN,2017,QB,290.2565203318513
TEN,2018,QB,240.83820546474166
TEN,2019,QB,549.69000100898
TEN,2020,QB,855.7955777684739
TEN,2021,QB,727.2736600779247
TEN,2022,QB,265.83424653645244
TEN,2023,QB,238.15866932092186
TEN,2024,QB,34.0173431872749
WAS,2006,QB,97.09405919875309
WAS,2007,QB,130.84819777137662
WAS,2008,QB,275.4053064870808
WAS,2009,QB,174.6311446767462
WAS,2010,QB,132.97937802271963
WAS,2011,QB,46.40010883169179
WAS,2012,QB,543.092985645545
WAS,2013,QB,351.3643077318264
WAS,2014,QB,320.61860001116196
WAS,2015,QB,460.2659512220381
WAS,2016,QB,983.3318756936737
WAS,2017,QB,889.5213787491281
WAS,2018,QB,298.0858398212226
WAS,2019,QB,127.73533801580334
WAS,2020,QB,221.7417987156103
WAS,2021,QB,194.1177745011048
WAS,2022,QB,107.55655889773907
WAS,2023,QB,120.06739996811733
WAS,2024,QB,288.3542963643791
ARZ,2006,WR,83.01489007830519
ARZ,2007,WR,88.33503251498655
ARZ,2008,WR,59.119743214505085
ARZ,2009,WR,72.85430010552406
ARZ,2010,WR,52.28623485323987
ARZ,2011,WR,79.49684343989026
ARZ,2012,WR,60.612874554288226
ARZ,2013,WR,96.43058534862372
ARZ,2014,WR,73.7339127632667
ARZ,2015,WR,59.93883747528863
ARZ,2016,WR,82.48295249659368
ARZ,2017,WR,49.16595340517159
ARZ,2018,WR,58.43596028407345
ARZ,2019,WR,31.96499098507683
ARZ,2020,WR,59.868969799342906
ARZ,2021,WR,32.01586508817363
ARZ,2022,WR,27.022809896490784
ARZ,2023,WR,10.01328925671504
ARZ,2024,WR,22.5478086112156
ATL,2006,WR,39.07972433798001
ATL,2007,WR,36.02645006340133
ATL,2008,WR,39.536609691641274
ATL,2009,WR,34.03656511335908
ATL,2010,WR,40.85352091872531
ATL,2011,WR,68.1740480123795
ATL,2012,WR,75.26627225838143
ATL,2013,WR,56.43078592888361
ATL,2014,WR,49.61240739217373
ATL,2015,WR,51.29846749434237
ATL,2016,WR,46.30338721417954
ATL,2017,WR,56.430141710303786
ATL,2018,WR,56.95785139675458
ATL,2019,WR,45.71877905991408
ATL,2020,WR,28.019969390105793
ATL,2021,WR,14.136119060174119
ATL,2022,WR,13.517184286301932
ATL,2023,WR,12.372403458167833
ATL,2024,WR,20.1157364436134
BLT,2006,WR,28.888403400393617
BLT,2007,WR,17.302280138627218
BLT,2008,WR,23.470730061918463
BLT,2009,WR,18.991458511205003
BLT,2010,WR,60.52867177971667
BLT,2011,WR,54.73239338186215
BLT,2012,WR,46.659476640010034
BLT,2013,WR,15.839169202967472
BLT,2014,WR,29.374612223581416
BLT,2015,WR,16.134702566464775
BLT,2016,WR,36.26721166384809
BLT,2017,WR,31.524230806168166
BLT,2018,WR,34.80421381706383
BLT,2019,WR,16.05213512937058
BLT,2020,WR,19.894889620685447
BLT,2021,WR,12.984155583497964
BLT,2022,WR,32.924087893700914
BLT,2023,WR,19.551697809271236
BLT,2024,WR,30.124571107740394
BUF,2006,WR,12.028192710575407
BUF,2007,WR,11.608335438605822
BUF,2008,WR,18.717720359752754
BUF,2009,WR,18.77652134863523
BUF,2010,WR,11.011616858079831
BUF,2011,WR,10.388040508381955
BUF,2012,WR,12.603049431040853
BUF,2013,WR,40.59087225207278
BUF,2014,WR,49.41394104229619
BUF,2015,WR,40.6427710688062
BUF,2016,WR,39.03670470445609
BUF,2017,WR,9.881197294566682
BUF,2018,WR,20.046882158719214
BUF,2019,WR,29.954573253383813
BUF,2020,WR,34.284246334075796
BUF,2021,WR,40.0492932895682
BUF,2022,WR,33.48747193551334
BUF,2023,WR,22.960107398414443
BUF,2024,WR,40.153194234020596
CAR,2006,WR,36.01998162284422
CAR,2007,WR,34.11990478077458
CAR,2008,WR,59.86280821341412
CAR,2009,WR,62.903227863615825
CAR,2010,WR,35.556750894353115
CAR,2011,WR,43.121057601080125
CAR,2012,WR,49.75947899364225
CAR,2013,WR,84.20689350954056
CAR,2014,WR,28.196443467689136
CAR,2015,WR,38.821010170266256
CAR,2016,WR,29.594388800183204
CAR,2017,WR,13.520820368881518
CAR,2018,WR,31.541252101858184
CAR,2019,WR,26.22225760240274
CAR,2020,WR,29.890167555326222
CAR,2021,WR,17.792139170237633
CAR,2022,WR,20.84697566714696
CAR,2023,WR,17.923284972218525
CAR,2024,WR,50.79773049740682
CHI,2006,WR,12.69386974288821
CHI,2007,WR,19.15894696073677
CHI,2008,WR,21.799907317009534
CHI,2009,WR,18.41028168843295
CHI,2010,WR,13.212657606306426
CHI,2011,WR,13.36655569485859
CHI,2012,WR,72.92877618768478
CHI,2013,WR,56.68825920028235
CHI,2014,WR,36.299338978481714
CHI,2015,WR,21.56541051680365
CHI,2016,WR,16.32822815243565
